Gen_Index,zone,capacity,Ramp_Rate,Ramp_Start,Ramp_Shutdown
Roanoke Rapids 4,EAST,0.0,4.6000000000000005,21.849999999999998,2.3000000000000003
Roanoke Rapids 2,EAST,0.0,5.0,23.75,2.5
Buxton 3,EAST,0.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Buxton 1,EAST,0.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Buxton 2,EAST,0.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Buxton 5,EAST,0.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Buxton 4,EAST,0.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Cardinal 1,EAST,600.0,120.0,570.0,60.0
Cardinal 3,EAST,630.0,126.0,598.5,63.0
Cardinal 2,EAST,600.0,120.0,570.0,60.0
Beckjord 5,EAST,0.0,47.6,226.1,23.8
Beckjord GT 4,EAST,0.0,12.200000000000001,57.949999999999996,6.1000000000000005
Beckjord GT 1,EAST,0.0,12.200000000000001,57.949999999999996,6.1000000000000005
Beckjord 6,EAST,0.0,84.0,399.0,42.0
Beckjord 4,EAST,0.0,30.0,142.5,15.0
Beckjord GT 3,EAST,0.0,12.200000000000001,57.949999999999996,6.1000000000000005
Beckjord GT 2,EAST,0.0,12.200000000000001,57.949999999999996,6.1000000000000005
Dicks Creek 5,EAST,0.0,4.2,19.95,2.1
Dicks Creek 4,EAST,0.0,4.2,19.95,2.1
Dicks Creek 3,EAST,0.0,4.0,19.0,2.0
Dicks Creek 1,EAST,0.0,22.0,104.5,11.0
Miami Fort 6,EAST,0.0,32.6,154.85,16.3
Miami Fort GT 4,EAST,0.0,4.0,19.0,2.0
Miami Fort GT 3,EAST,0.0,4.0,19.0,2.0
Miami Fort 7,EAST,0.0,102.0,484.5,51.0
Miami Fort GT 5,EAST,0.0,4.0,19.0,2.0
Miami Fort 8,EAST,0.0,102.0,484.5,51.0
Miami Fort GT 6,EAST,0.0,4.0,19.0,2.0
Ashtabula 5,EAST,0.0,53.6,254.6,26.8
Avon Lake 7,EAST,0.0,18.8,89.3,9.4
Avon Lake 10,EAST,0.0,5.800000000000001,27.549999999999997,2.9000000000000004
Avon Lake 9,EAST,0.0,128.0,608.0,64.0
Eastlake 2,EAST,0.0,29.0,137.75,14.5
Eastlake 6 CT,EAST,0.0,6.2,29.45,3.1
Eastlake 3,EAST,0.0,29.0,137.75,14.5
Eastlake 1,EAST,0.0,29.0,137.75,14.5
Lake Shore D2,EAST,0.0,0.4,1.9,0.2
Lake Shore 18,EAST,0.0,53.6,254.6,26.8
