Gen_Index,Name,Category,Capacity,Fuel_Cost
970,Willamette (PennTech)(Domtar),ST,49,25
971,Lakewood NUG,CC,262,30
972,Cat Tractor NUG,CC,51,30
973,I95 LF Phase II,DS,3,80
974,Wheelabrator Falls NUG,ST,48,25
976,Dinwiddie Diesel,DS,3,80
977,Weakley Diesel,DS,7,80
978,Grays Ferry Cogen,CC,150,30
980,Panda,CC,230,30
981,Gordonsville 1 (So.Anna),CC,144,30
982,Gordonsville 2 (So.Anna),CC,144,30
983,Santeetlah 2,HD,21,5
984,Santeetlah 1,HD,21,5
985,Cheoah 5,HD,33.6,5
986,Cheoah 4,HD,27.5,5
987,Cheoah 3,HD,27.5,5
988,Cheoah 1,HD,27.5,5
989,Cheoah 2,HD,27.5,5
990,Calderwood 2,HD,52,5
991,Calderwood 1,HD,52,5
992,Calderwood 3,HD,52,5
993,Chilhowee 1,HD,17,5
994,Chilhowee 2,HD,17,5
995,Chilhowee 3,HD,17,5
996,Keystone NUG,DS,5,80
997,Manchester,DS,5,80
998,Ocean County LF,DS,9.6,80
999,Lakeview,DS,5,80
1005,Rocky Road CT 33,CT,30,50
1006,Rocky Road CT 31,CT,110,50
1007,Rocky Road CT 34,CT,110,50
1008,Rocky Road CT 32,CT,110,50
1009,Madison 1,CT,88,50
1017,Kendall 2,CC,300,30
1018,Kendall 4,CC,300,30
1019,Kendall 3,CC,305,30
1020,Kendall 1,CC,300,30
1024,Bluegrass CT 2,CT,202,50
1025,Bluegrass CT 3,CT,202,50
1026,Bluegrass CT 1,CT,202,50
1027,Nelson CT 2,CC,175.7,30
1028,Nelson ST 2,CC,139,30
1029,Nelson CT 1,CC,175.7,30
1030,Nelson ST 1,CC,139,30
1031,Cordova ST 1,CC,150,30
1032,Cordova CT 2,CC,175,30
1033,Cordova CT 1,CC,175,30
1034,Ontelaunee ST 1,CC,138,30
1035,Ontelaunee CT 2,CC,191,30
1036,Ontelaunee CT 1,CC,191,30
1037,Springdale 1 (AE1),CT,44,50
1038,Springdale 2 (AE2),CT,44,50
1039,Foothills 5 (Zelda 5),CT,208,50
1040,Foothills 4 (Zelda 4),CT,208,50
1041,Elwood 4,CT,154,50
1042,Elwood 5,CT,190,50
1043,Elwood 8,CT,190,50
1044,Elwood 7,CT,190,50
1045,Elwood 1,CT,154,50
1046,Elwood 2,CT,155,50
1047,Elwood 3,CT,154,50
1048,Elwood 9,CT,155,50
1049,Elwood 6,CT,190,50
1052,Morris CT1 (Equistar),CC,38,30
1053,Morris CT2 (Equistar),CC,38,30
1054,Morris ST1 (Equistar),CC,62,30
1055,Morris Cogen,DS,1.9,80
1056,Morris CT3 (Equistar),CC,38,30
1061,Greenville 1,CT,59,50
1062,Greenville 2,CT,59,50
1063,Greenville 3,CT,59,50
1064,Greenville 4,CT,59,50
1065,Liberty CT2,CC,152,30
1067,Liberty CT1,CC,152,30
1068,Liberty CC3,CC,217,30
1069,Handsome Lake 2,CT,50,50
1070,Handsome Lake 1,CT,50,50
1071,Handsome Lake 3,CT,50,50
1072,Handsome Lake 5,CT,50,50
1073,Handsome Lake 4,CT,50,50
1074,Lee County 8,CT,80,50
1075,Lee County 7,CT,80,50
1076,Lee County 5,CT,80,50
1077,Lee County 1,CT,80,50
1078,Lee County 6,CT,80,50
1079,Lee County 2,CT,80,50
1080,Lee County 3,CT,80,50
1081,Lee County 4,CT,80,50
1082,Rockford 1/11,CT,150,50
1083,Rockford 1/12,CT,150,50
1084,Red Oak Plant,CC,766,30
1085,Darby 1,CT,94,50
1086,Darby 5,CT,94,50
1087,Darby 3,CT,94,50
1088,Darby 6,CT,94,50
