date,pjm_pv_jeremy_scaled_3_28,NREL_wind_scaled
1/19/2007,0.228366183,0.489779013
1/19/2007,0.185058427,0.509613159
1/19/2007,0.13127992,0.513233459
1/19/2007,0.103008872,0.538695369
1/19/2007,0.013241019,0.558786208
1/19/2007,0,0.590682372
1/19/2007,0,0.589836323
1/19/2007,0,0.568229261
1/19/2007,0,0.555403027
1/19/2007,0,0.567519608
1/19/2007,0,0.518838813
1/20/2007,0,0.481265051
1/20/2007,0,0.436405399
1/20/2007,0,0.395613447
1/20/2007,0,0.351599895
1/20/2007,0,0.312063227
1/20/2007,0,0.291374045
1/20/2007,0,0.270129583
1/20/2007,0,0.258500122
1/20/2007,0.064027174,0.237122397
1/20/2007,0.176439097,0.215650299
1/20/2007,0.252913838,0.213832354
1/20/2007,0.282172064,0.214067169
1/20/2007,0.313693753,0.212860036
1/20/2007,0.320872486,0.21450186
1/20/2007,0.309110528,0.217314
1/20/2007,0.258488261,0.219122653
1/20/2007,0.173943683,0.211181802
1/20/2007,0.026572325,0.222252518
1/20/2007,0,0.226153604
1/20/2007,0,0.234551618
1/20/2007,0,0.226674927
1/20/2007,0,0.213870206
1/20/2007,0,0.202985626
1/20/2007,0,0.212543432
1/21/2007,0,0.217581583
1/21/2007,0,0.190195437
1/21/2007,0,0.206631232
1/21/2007,0,0.22534283
1/21/2007,0,0.229687487
1/21/2007,0,0.246230186
1/21/2007,0,0.267149228
1/21/2007,0,0.276364176
1/21/2007,0.017478623,0.245811254
1/21/2007,0.079168981,0.191908949
1/21/2007,0.148361033,0.166693405
1/21/2007,0.131297188,0.129966689
1/21/2007,0.139217667,0.097982818
1/21/2007,0.127685772,0.079029497
1/21/2007,0.097174571,0.067653083
1/21/2007,0.063254412,0.060267574
1/21/2007,0.042701651,0.059471062
1/21/2007,0.008456087,0.060691983
1/21/2007,0,0.056139545
1/21/2007,0,0.057150747
1/21/2007,0,0.057779778
1/21/2007,0,0.052921165
1/21/2007,0,0.056378311
1/21/2007,0,0.067962553
1/22/2007,0,0.078700467
1/22/2007,0,0.103652726
1/22/2007,0,0.138307332
1/22/2007,0,0.156037089
1/22/2007,0,0.173751267
1/22/2007,0,0.158072399
1/22/2007,0,0.132800495
1/22/2007,0,0.127660833
1/22/2007,0.056982896,0.094526451
1/22/2007,0.103224377,0.058013291
1/22/2007,0.088872814,0.048503959
1/22/2007,0.078819551,0.050682896
1/22/2007,0.065990726,0.06703165
1/22/2007,0.093131706,0.093657245
1/22/2007,0.073809775,0.122480836
1/22/2007,0.033768328,0.159696232
1/22/2007,0.023568707,0.225581414
1/22/2007,0.004392951,0.357083841
1/22/2007,0,0.425065368
1/22/2007,0,0.475676589
1/22/2007,0,0.476885749
1/22/2007,0,0.501341447
1/22/2007,0,0.499802646
1/22/2007,0,0.537570893
1/23/2007,0,0.531744303
1/23/2007,0,0.546793058
1/23/2007,0,0.541926658
1/23/2007,0,0.549313147
1/23/2007,0,0.557730053
1/23/2007,0,0.548004458
1/23/2007,0,0.558030091
1/23/2007,0,0.572450371
1/23/2007,0.01876971,0.519355621
1/23/2007,0.103331967,0.418804244
1/23/2007,0.21964902,0.373079068
1/23/2007,0.274684933,0.359405978
1/23/2007,0.202384753,0.367585951
1/23/2007,0.231859437,0.358469144
1/23/2007,0.23152045,0.363165497
1/23/2007,0.226871474,0.348890759
1/23/2007,0.133240914,0.325514662
1/23/2007,0.016646817,0.382556289
1/23/2007,0,0.385856673
1/23/2007,0,0.368784517
1/23/2007,0,0.335272523
1/23/2007,0,0.316016736
1/23/2007,0,0.310884488
1/23/2007,0,0.26486443
1/24/2007,0,0.218136571
1/24/2007,0,0.196137395
1/24/2007,0,0.177347512
1/24/2007,0,0.155253774
1/24/2007,0,0.132007596
1/24/2007,0,0.116363929
1/24/2007,0,0.112379209
1/24/2007,0,0.128951385
1/24/2007,0.018485036,0.112884021
1/24/2007,0.101442216,0.064344273
1/24/2007,0.167094177,0.044662268
1/24/2007,0.189011838,0.047943646
1/24/2007,0.175321704,0.055373146
1/24/2007,0.163135458,0.072064435
1/24/2007,0.087851769,0.100163256
1/24/2007,0.095292951,0.128147023
1/24/2007,0.079816149,0.177982775
1/24/2007,0.007415383,0.311931133
1/24/2007,0,0.401859685
1/24/2007,0,0.479199706
