"","UTILUNIT","ID6","ORISPL","RATINGMW","LAT","LON"
"687","213-380","CT","3170",18,39.9144,-75.135
"688","213-377","CT","3170",18,39.9144,-75.135
"689","213-378","CT","3170",18,39.9144,-75.135
"690","213-379","CT","3170",18,39.9144,-75.135
"691","200-919","HD","3175",37.5,39.9244,-76.39
"692","200-916","HD","3175",33,39.9244,-76.39
"693","200-921","HD","3175",38.5,39.9244,-76.39
"694","200-920","HD","3175",38.5,39.9244,-76.39
"695","200-918","HD","3175",32.5,39.9244,-76.39
"696","200-912","HD","3175",32,39.9244,-76.39
"697","200-922","HD","3175",38,39.9244,-76.39
"698","200-917","HD","3175",32,39.9244,-76.39
"699","200-923","HD","3175",38.5,39.9244,-76.39
"700","200-915","HD","3175",32,39.9244,-76.39
"701","200-913","HD","3175",32,39.9244,-76.39
"702","200-914","HD","3175",33,39.9244,-76.39
"703","216-102","ST","3176",50,41.200556,-76.07
"704","216-103","CC","3176",29,41.200556,-76.07
"705","216-701","CC","3176",48,41.200556,-76.07
"706","216-702","CC","3176",48,41.200556,-76.07
"707","427-104","ST","3178",180,40.929167,-79.465556
"708","427-105","ST","3178",176,40.929167,-79.465556
"709","427-113","ST","3179",570,39.855556,-79.9275
"710","427-112","ST","3179",570,39.855556,-79.9275
"711","427-111","ST","3179",570,39.855556,-79.9275
"712","341-522","HD","3423",33,36.289539,-85.94416
"713","341-520","HD","3423",33,36.289539,-85.94416
"714","341-521","HD","3423",33,36.289539,-85.94416
"715","341-525","HD","3424",18,36.5378,-85.4517
"716","341-524","HD","3424",18,36.5378,-85.4517
"717","341-523","HD","3424",18,36.5378,-85.4517
"718","341-528","HD","3426",25,36.2972,-86.6556
"719","341-529","HD","3426",25,36.2972,-86.6556
"720","341-530","HD","3426",25,36.2972,-86.6556
"721","341-531","HD","3426",25,36.2972,-86.6556
"722","341-526","HD","3428",28,36.1564,-86.6186
"723","401-500","HD","3772",3,36.808229,-80.938714
"724","401-502","HD","3772",3,36.808229,-80.938714
"725","401-501","HD","3772",3,36.808229,-80.938714
"726","401-503","HD","3773",5.4,36.7858,-80.9333
"727","401-505","HD","3773",5.4,36.7858,-80.9333
"728","401-504","HD","3773",5.4,36.7858,-80.9333
"729","401-506","HD","3773",5.4,36.7858,-80.9333
"730","401-508","HD","3774",18.8,37.075,-80.5847
"731","401-509","HD","3774",18.8,37.075,-80.5847
"732","401-510","HD","3774",18.8,37.075,-80.5847
"733","401-507","HD","3774",18.8,37.075,-80.5847
"734","401-112","ST","3775",232.1,36.9333,-82.1997
"735","401-111","ST","3775",232.1,36.9333,-82.1997
"736","401-113","ST","3775",232.1,36.9333,-82.1997
"737","401-125","ST","3776",95,37.3706,-80.8633
"738","401-126","ST","3776",240,37.3706,-80.8633
"739","401-512","HD","3777",25,37.0933,-79.4025
"740","401-511","HD","3777",25,37.0933,-79.4025
"741","401-519","HD","3778",2,37.2544,-79.8756
"742","401-520","HD","3778",2,37.2544,-79.8756
"743","924-500","HD","3779",12.5,37.4639,-79.1856
