Gen_Index,Fuel_Cost,Pmin,start_cost,Can_Spin
1037,37.18809044,0.4,1100,1
1038,37.18809044,0.4,1100,1
1039,41.84575855,0.4,5200,1
1040,41.84575855,0.4,5200,1
1041,41.26765961,0.4,3850,1
1042,41.26765961,0.4,4750,1
1043,41.26765961,0.4,4750,1
1044,41.26765961,0.4,4750,1
1045,41.26765961,0.4,3850,1
1046,41.26765961,0.4,3875,1
1047,41.26765961,0.4,3850,1
1048,41.26765961,0.4,3875,1
1049,41.26765961,0.4,4750,1
1052,25.35780297,0.4,3800,1
1053,25.35780297,0.4,3800,1
1054,25.35780297,0.4,6200,1
1055,92.08140741,0.25,47.5,1
1056,25.35780297,0.4,3800,1
1061,36.62538029,0.4,1475,1
1062,36.62538029,0.4,1475,1
1063,36.62538029,0.4,1475,1
1064,36.62538029,0.4,1475,1
1065,25.98112367,0.4,15200,1
1067,25.98112367,0.4,15200,1
1068,25.98112367,0.4,21700,1
1069,44.15229905,0.4,1250,1
1070,44.15229905,0.4,1250,1
1071,44.15229905,0.4,1250,1
1072,44.15229905,0.4,1250,1
1073,44.15229905,0.4,1250,1
1074,44.03022848,0.4,2000,1
1075,44.03022848,0.4,2000,1
1076,44.03022848,0.4,2000,1
1077,44.03022848,0.4,2000,1
1078,44.03022848,0.4,2000,1
1079,44.03022848,0.4,2000,1
1080,44.03022848,0.4,2000,1
1081,44.03022848,0.4,2000,1
1082,38.54430803,0.4,3750,1
1083,38.54430803,0.4,3750,1
1084,25.7738164,0.4,76600,1
1085,46.33693953,0.4,2350,1
1086,46.33693953,0.4,2350,1
1087,46.33693953,0.4,2350,1
1088,46.33693953,0.4,2350,1
1089,46.33693953,0.4,2350,1
1090,46.33693953,0.4,2350,1
1091,43.16473617,0.4,2350,1
1092,43.16473617,0.4,2350,1
1093,43.16473617,0.4,2350,1
1094,43.16473617,0.4,2350,1
1095,48.999562,0.4,1250,1
1096,48.999562,0.4,1250,1
1097,48.999562,0.4,1250,1
1098,48.999562,0.4,1250,1
1099,48.999562,0.4,1250,1
1100,48.999562,0.4,1250,1
1104,47.5713721,0.4,1880,1
1105,47.5713721,0.4,1880,1
1106,47.5713721,0.4,1880,1
1107,47.5713721,0.4,1880,1
1108,43.36933262,0.4,2275,1
1109,43.36933262,0.4,2275,1
1110,43.36933262,0.4,2275,1
1111,43.36933262,0.4,2275,1
1112,43.36933262,0.4,2250,1
1113,43.36933262,0.4,2275,1
1114,39.79182671,0.4,1125,1
1115,39.79182671,0.4,1125,1
1116,39.79182671,0.4,3800,1
1117,39.79182671,0.4,1125,1
1118,39.79182671,0.4,1125,1
1119,39.79182671,0.4,3800,1
1120,39.79182671,0.4,1125,1
1121,39.79182671,0.4,3800,1
1122,39.79182671,0.4,1125,1
1123,39.79182671,0.4,3800,1
1124,27.54217879,0.4,1100,1
1125,27.54217879,0.4,1100,1
1126,27.54217879,0.4,1100,1
1127,27.54217879,0.4,1100,1
1128,27.54217879,0.4,1100,1
1129,27.54217879,0.4,1100,1
1130,27.54217879,0.4,1100,1
1131,27.54217879,0.4,1100,1
1132,39.946546,0.4,1400,1
1133,39.946546,0.4,1400,1
1134,39.946546,0.4,1400,1
1135,39.946546,0.4,1400,1
1136,39.946546,0.4,1400,1
1141,37.72635734,0.4,5000,1
1142,37.72635734,0.4,5000,1
1143,25.9497004,0.4,39000,1
1144,25.9497004,0.4,39000,1
1145,25.9497004,0.4,39000,1
1146,25.48518381,0.4,62400,1
1147,25.48518381,0.4,63000,1
1148,25.81391753,0.4,22500,1
1149,25.81391753,0.4,22500,1
1151,25.81391753,0.4,22300,1
1152,38.53976819,0.4,3675,1
1153,38.53976819,0.4,3650,1
1154,38.53976819,0.4,3725,1
1155,38.53976819,0.4,3675,1
1156,34.43835042,0.4,3750,1
1157,34.43835042,0.4,3750,1
1158,34.43835042,0.4,3750,1
1159,34.43835042,0.4,3750,1
1160,38.43073086,0.4,3875,1
1161,38.43073086,0.4,3775,1
1162,24.59373329,0.4,14800,1
1163,24.59373329,0.4,24900,1
1164,24.59373329,0.4,14800,1
1165,26.31763026,0.4,16500,1
1166,26.31763026,0.4,15000,1
1167,26.31763026,0.4,15000,1
1168,26.31763026,0.4,15000,1
1169,26.31763026,0.4,16500,1
1170,26.31763026,0.4,16500,1
1171,26.31763026,0.4,15000,1
1172,26.31763026,0.4,16500,1
1176,37.55533272,0.4,1100,1
1177,37.55533272,0.4,1100,1
1190,36.40203519,0.4,1125,1
1191,36.40203519,0.4,1125,1
1192,36.40203519,0.4,1125,1
1193,36.40203519,0.4,1125,1
1194,36.40203519,0.4,1125,1
1195,36.40203519,0.4,1125,1
1196,36.40203519,0.4,1125,1
1200,39.24191762,0.4,4375,1
1201,39.24191762,0.4,4375,1
1202,39.24191762,0.4,4375,1
1203,25.39251745,0.4,60000,1
1204,38.71553403,0.4,4875,1
1205,38.71553403,0.4,4875,1
1206,38.71553403,0.4,4875,1
1207,38.71553403,0.4,4875,1
1208,38.71553403,0.4,4875,1
1213,46.24662351,0.4,2000,1
1214,46.24662351,0.4,2000,1
1215,46.24662351,0.4,2000,1
1216,44.07063122,0.4,3375,1
1217,44.07063122,0.4,3375,1
1218,44.07063122,0.4,3375,1
