Gen_Index,Name,Zone,Category,Capacity,Fuel_Cost,Can_Spin
581,Allentown 2,PA_METED_PPL,CT,18,50,1
582,Allentown 1,PA_METED_PPL,CT,18,50,1
583,Allentown 3,PA_METED_PPL,CT,18,50,1
586,Brunner Island 2,PA_METED_PPL,ST,390,25,1
587,Brunner Island 3,PA_METED_PPL,ST,745,25,1
589,Brunner Island 1,PA_METED_PPL,ST,334,25,1
590,Fishbach 2,PA_METED_PPL,CT,18,50,1
591,Fishbach 1,PA_METED_PPL,CT,18,50,1
592,Harrisburg 1,PA_METED_PPL,CT,18,50,1
594,Harrisburg 3,PA_METED_PPL,CT,18,50,1
595,Harrisburg 2,PA_METED_PPL,CT,18,50,1
596,Harwood 1,PA_METED_PPL,CT,18,50,1
597,Harwood 2,PA_METED_PPL,CT,18,50,1
598,Holtwood 01,PA_METED_PPL,HD,10,5,0
599,Holtwood 03,PA_METED_PPL,HD,11,5,0
600,Holtwood 13,PA_METED_PPL,HD,1.25,5,0
601,Holtwood 02,PA_METED_PPL,HD,10,5,0
602,Holtwood 05,PA_METED_PPL,HD,11,5,0
603,Holtwood 11,PA_METED_PPL,HD,1.25,5,0
604,Holtwood 04,PA_METED_PPL,HD,10,5,0
605,Holtwood 08,PA_METED_PPL,HD,11,5,0
606,Holtwood 09,PA_METED_PPL,HD,13,5,0
607,Holtwood 06,PA_METED_PPL,HD,11,5,0
609,Holtwood 18,PA_METED_PPL,HD,64.6,5,0
610,Holtwood 10,PA_METED_PPL,HD,12,5,0
611,Holtwood 19,PA_METED_PPL,HD,64.6,5,0
612,Holtwood 07,PA_METED_PPL,HD,10,5,0
613,Jenkins(Georgetown) 2,PA_METED_PPL,CT,18,50,1
614,Jenkins(Georgetown) 1,PA_METED_PPL,CT,18,50,1
615,Lockhaven 1,PA_METED_PPL,CT,18,50,1
619,Martins Creek CTG 3,EAST,CT,24,50,1
620,Martins Creek CTG 4,EAST,CT,24,50,1
621,Martins Creek 4,EAST,ST,820,25,1
622,Martins Creek CTG 2,EAST,CT,24,50,1
623,Martins Creek CTG 1,EAST,CT,24,50,1
625,Martins Creek 3,EAST,ST,850,25,1
626,Montour 2,PA_METED_PPL,ST,755,25,1
627,Montour 1,PA_METED_PPL,ST,757,25,1
628,Montour ATG,PA_METED_PPL,ST,15,25,1
629,Sunbury CTG 2,PA_METED_PPL,CT,24,50,1
630,Sunbury Diesel 1,PA_METED_PPL,DS,3,80,1
631,Sunbury Diesel 2,PA_METED_PPL,DS,3,80,1
633,Sunbury CTG 1,PA_METED_PPL,CT,24,50,1
638,Wallenpaupack 2,PA_METED_PPL,HD,22,5,0
639,Wallenpaupack 1,PA_METED_PPL,HD,22,5,0
640,West Shore 1,PA_METED_PPL,CT,18,50,1
641,West Shore 2,PA_METED_PPL,CT,18,50,1
642,Williamsport 1,WEST,CT,18,50,1
643,Williamsport 2,WEST,CT,18,50,1
644,Chester 9,EAST,CT,18,50,1
645,Chester 8,EAST,CT,18,50,1
646,Chester 7,EAST,CT,18,50,1
650,Delaware 12,EAST,CT,18,50,1
651,Delaware 11,EAST,CT,18,50,1
654,Delaware 09,EAST,CT,20,50,1
655,Delaware 10,EAST,CT,18,50,1
657,Eddystone 10,EAST,CT,18,50,1
658,Eddystone 30,EAST,CT,20,50,1
659,Eddystone 20,EAST,CT,18,50,1
660,Eddystone 04,EAST,ST,380,25,1
661,Eddystone 40,EAST,CT,20,50,1
662,Eddystone 03,EAST,ST,380,25,1
665,Falls 2,EAST,CT,20,50,1
666,Falls 1,EAST,CT,20,50,1
667,Falls 3,EAST,CT,20,50,1
668,Moser 2,EAST,CT,20,50,1
669,Moser 3,EAST,CT,20,50,1
670,Moser 1,EAST,CT,20,50,1
671,Muddy Run 2,PA_METED_PPL,HD,133,5,0
672,Muddy Run 3,PA_METED_PPL,HD,134,5,0
673,Muddy Run 1,PA_METED_PPL,HD,134,5,0
674,Muddy Run 4,PA_METED_PPL,HD,134,5,0
675,Muddy Run 5,PA_METED_PPL,HD,134,5,0
676,Muddy Run 7,PA_METED_PPL,HD,134,5,0
677,Muddy Run 8,PA_METED_PPL,HD,134,5,0
678,Muddy Run 6,PA_METED_PPL,HD,133,5,0
679,Peach Bottom 3,PA_METED_PPL,NU,1112,10,0
680,Peach Bottom 2,PA_METED_PPL,NU,1112,10,0
681,Richmond 91,EAST,CT,66,50,1
682,Richmond 92,EAST,CT,66,50,1
683,Schuylkill 10,EAST,CT,18,50,1
684,Schuylkill 11,EAST,CT,20,50,1
687,Southwark 6,EAST,CT,18,50,1
688,Southwark 3,EAST,CT,18,50,1
689,Southwark 4,EAST,CT,18,50,1
690,Southwark 5,EAST,CT,18,50,1
691,Safe Harbor 08,PA_METED_PPL,HD,37,5,0
692,Safe Harbor 05,PA_METED_PPL,HD,33,5,0
693,Safe Harbor 10,PA_METED_PPL,HD,38,5,0
694,Safe Harbor 09,PA_METED_PPL,HD,38,5,0
695,Safe Harbor 07,PA_METED_PPL,HD,32,5,0
696,Safe Harbor 01,PA_METED_PPL,HD,32,5,0
697,Safe Harbor 11,PA_METED_PPL,HD,38,5,0
698,Safe Harbor 06,PA_METED_PPL,HD,32,5,0
699,Safe Harbor 12,PA_METED_PPL,HD,38,5,0
700,Safe Harbor 04,PA_METED_PPL,HD,32,5,0
701,Safe Harbor 02,PA_METED_PPL,HD,32,5,0
702,Safe Harbor 03,PA_METED_PPL,HD,33,5,0
704,Hunlock 3,PA_METED_PPL,CC,24,30,1
705,Hunlock 5,PA_METED_PPL,CC,48,30,1
706,Hunlock 6,PA_METED_PPL,CC,48,30,1
712,Cordell Hull 3,VA_DOM,HD,33,5,0
713,Cordell Hull 1,VA_DOM,HD,33,5,0
714,Cordell Hull 2,VA_DOM,HD,33,5,0
715,Dale Hollow 3,VA_DOM,HD,18,5,0
716,Dale Hollow 2,VA_DOM,HD,18,5,0
717,Dale Hollow 1,VA_DOM,HD,18,5,0
718,Old Hickory 1,VA_DOM,HD,25,5,0
719,Old Hickory 2,VA_DOM,HD,25,5,0
720,Old Hickory 3,VA_DOM,HD,25,5,0
721,Old Hickory 4,VA_DOM,HD,25,5,0
722,J Percy Priest,VA_DOM,HD,28,5,0
723,Buck 1,WEST,HD,3,5,0
724,Buck 3,WEST,HD,3,5,0
725,Buck 2,WEST,HD,3,5,0
726,Byllesby 1,WEST,HD,5.4,5,0
727,Byllesby 3,WEST,HD,5.4,5,0
728,Byllesby 2,WEST,HD,5.4,5,0
729,Byllesby 4,WEST,HD,5.4,5,0
730,Claytor 2,WEST,HD,18.8,5,0
731,Claytor 3,WEST,HD,18.8,5,0
732,Claytor 4,WEST,HD,18.8,5,0
733,Claytor 1,WEST,HD,18.8,5,0
734,Clinch River 2,WEST,ST,230,25,1
735,Clinch River 1,WEST,ST,230,25,1
739,Leesville 2,VA_DOM,HD,25,5,0
740,Leesville 1,VA_DOM,HD,25,5,0
741,Niagara 1,WEST,HD,2,5,0
742,Niagara 2,WEST,HD,2,5,0
743,Reusens Hydro,WEST,HD,12.5,5,0
749,Smith Mtn 3,WEST,HD,105,5,0
750,Smith Mtn 5,WEST,HD,66,5,0
751,Smith Mtn 1,WEST,HD,66,5,0
752,Smith Mtn 4,WEST,HD,174,5,0
753,Smith Mtn 2,WEST,HD,174,5,0
754,Bayview 16,EAST,DS,12,80,1
755,Tasley 10,EAST,CT,33,50,1
763,Chesterfield 6,VA_DOM,ST,671,25,1
764,Chesterfield 4,VA_DOM,ST,171,25,1
765,Chesterfield 3,VA_DOM,ST,105,25,1
766,Chesterfield 5,VA_DOM,ST,317,25,1
767,Chesterfield 7,VA_DOM,CC,232,30,1
768,Chesterfield 8,VA_DOM,CC,235,30,1
769,Cushaw 1,WEST,HD,2,5,0
770,Low Moor GT 1,VA_DOM,CT,12,50,1
771,Low Moor GT 2,VA_DOM,CT,12,50,1
772,Low Moor GT 4,VA_DOM,CT,12,50,1
773,Low Moor GT 3,VA_DOM,CT,12,50,1
774,Northern Neck GT 2,VA_DOM,CT,19,50,1
775,Northern Neck GT 3,VA_DOM,CT,19,50,1
776,Northern Neck GT 1,VA_DOM,CT,19,50,1
777,Northern Neck GT 4,VA_DOM,CT,19,50,1
