Gen_Index,Fuel_Cost	,Pmin,start_cost,Can_Spin,Min_Up,Min_Down
Essex 123,49.414422514545,0.25,1325.0,1,2,1
Essex 122,49.414422514545,0.25,1325.0,1,2,1
Essex 114,49.414422514545,0.25,1325.0,1,2,1
Essex 103,49.414422514545,0.25,1200.0,1,2,1
Essex 121,49.414422514545,0.25,1325.0,1,2,1
Essex 101,49.414422514545,0.25,1200.0,1,2,1
Essex 9,72.485218505205,0.25,2325.0,1,2,1
Essex 104,49.414422514545,0.25,1200.0,1,2,1
Essex 124,49.414422514545,0.25,1325.0,1,2,1
Essex 112,49.414422514545,0.25,1325.0,1,2,1
Essex 111,49.414422514545,0.25,1325.0,1,2,1
Essex 113,49.414422514545,0.25,1325.0,1,2,1
Essex 102,49.414422514545,0.25,1200.0,1,2,1
Hudson 2,21.70291473,0.4,62000.0,1,6,6
Kearney 133,52.62137876259,0.25,1172.5,1,2,1
Kearney 132,52.62137876259,0.25,1172.5,1,2,1
Kearney 134,52.62137876259,0.25,1172.5,1,2,1
Kearney 142,52.62137876259,0.25,1172.5,1,2,1
Kearney 124,52.62137876259,0.25,1100.0,1,2,1
Kearney 131,52.62137876259,0.25,1172.5,1,2,1
Kearney 09,49.414422514545,0.25,600.0,1,2,1
Kearney 122,52.62137876259,0.25,1100.0,1,2,1
Kearney 121,52.62137876259,0.25,1100.0,1,2,1
Kearney 141,52.62137876259,0.25,1172.5,1,2,1
Kearney 123,52.62137876259,0.25,1100.0,1,2,1
Linden 1,36.179528595457505,0.4,64290.0,1,5,4
Linden 2,36.179528595457505,0.4,64310.0,1,5,4
Linden 8,36.179528595457505,0.25,2450.0,1,2,1
Linden 7,36.179528595457505,0.25,2450.0,1,2,1
Linden 6,36.179528595457505,0.25,2150.0,1,2,1
Linden 5,36.179528595457505,0.25,2150.0,1,2,1
Mercer 1,21.70291473,0.4,32500.0,1,6,6
Mercer 2,21.70291473,0.4,32500.0,1,6,6
Mercer 3,49.414422514545,0.25,3500.0,1,2,1
National Park,49.414422514545,0.25,600.0,1,2,1
Salem 1,5.22962141,0.9,587000.0,1,20,20
Salem 3,51.25551943941,0.25,1150.0,1,2,1
Salem 2,5.22962141,0.9,577900.0,1,20,20
Sewaren 1,62.859488118,0.4,10700.0,1,6,6
Sewaren 2,62.859488118,0.4,12000.0,1,6,6
Sewaren 6,49.414422514545,0.25,3500.0,1,2,1
Sewaren 3,62.859488118,0.4,10900.0,1,6,6
Sewaren 4,62.859488118,0.4,12700.0,1,6,6
Vineland CT 11,50.26669390314,0.25,1572.5,1,2,1
Gaston 4,0.0,0.0,0.0,1,10,8
Gaston 2,0.0,0.0,0.0,1,10,8
Gaston 1,0.0,0.0,0.0,1,10,8
Gaston 3,0.0,0.0,0.0,1,10,8
Roanoke Rapids 1,0.0,0.0,0.0,1,10,8
Roanoke Rapids 3,0.0,0.0,0.0,1,10,8
Roanoke Rapids 4,0.0,0.0,0.0,1,10,8
Roanoke Rapids 2,0.0,0.0,0.0,1,10,8
Buxton 3,183.24020442,0.25,75.0,1,2,1
Buxton 1,183.24020442,0.25,75.0,1,2,1
Buxton 2,183.24020442,0.25,75.0,1,2,1
Buxton 5,183.24020442,0.25,75.0,1,2,1
Buxton 4,183.24020442,0.25,75.0,1,2,1
Cardinal 1,21.01104033,0.4,60000.0,1,6,6
Cardinal 3,21.01104033,0.4,63000.0,1,6,6
Cardinal 2,21.01104033,0.4,60000.0,1,6,6
Beckjord 5,21.70291473,0.4,23800.0,1,6,6
Beckjord GT 4,49.414422514545,0.25,1525.0,1,2,1
Beckjord GT 1,49.414422514545,0.25,1525.0,1,2,1
Beckjord 6,21.70291473,0.4,42000.0,1,6,6
Beckjord 4,21.70291473,0.4,15000.0,1,6,6
Beckjord GT 3,49.414422514545,0.25,1525.0,1,2,1
Beckjord GT 2,49.414422514545,0.25,1525.0,1,2,1
Dicks Creek 5,49.414422514545,0.25,525.0,1,2,1
Dicks Creek 4,49.414422514545,0.25,525.0,1,2,1
Dicks Creek 3,49.414422514545,0.25,500.0,1,2,1
Dicks Creek 1,49.414422514545,0.25,2750.0,1,2,1
Miami Fort 6,21.70291473,0.4,16300.0,1,6,6
Miami Fort GT 4,50.496624530055,0.25,500.0,1,2,1
Miami Fort GT 3,50.496624530055,0.25,500.0,1,2,1
Miami Fort 7,21.639202431,0.4,51000.0,1,6,6
Miami Fort GT 5,50.496624530055,0.25,500.0,1,2,1
Miami Fort 8,21.639202431,0.4,51000.0,1,6,6
Miami Fort GT 6,50.496624530055,0.25,500.0,1,2,1
Ashtabula 5,21.70291473,0.4,26800.0,1,6,6
Avon Lake 7,21.70291473,0.4,9400.0,1,6,6
Avon Lake 10,52.610140298925,0.25,725.0,1,2,1
Avon Lake 9,22.544902485,0.4,64000.0,1,6,6
Eastlake 2,21.70291473,0.4,14500.0,1,6,6
Eastlake 6 CT,98.952403834845,0.25,775.0,1,2,1
Eastlake 3,21.70291473,0.4,14500.0,1,6,6
Eastlake 1,21.70291473,0.4,14500.0,1,6,6
Lake Shore D2,133.02623425,0.25,50.0,1,2,1
Lake Shore 18,21.70291473,0.4,26800.0,1,6,6
Lake Shore D1,133.02623425,0.25,50.0,1,2,1
Conesville 6,23.018162874,0.4,40500.0,1,6,6
Conesville 4,23.018162874,0.4,78000.0,1,6,6
Conesville 5,23.018162874,0.4,40500.0,1,6,6
Picway 5,21.70291473,0.4,9610.0,1,6,6
Tait GT 2,52.675881045480004,0.25,2550.0,1,2,1
Tait GT 3,52.675881045480004,0.25,2550.0,1,2,1
Tait GT 1,52.675881045480004,0.25,2500.0,1,2,1
Tait D 4,139.73807848,0.25,62.5,1,2,1
Tait D 1,139.73807848,0.25,62.5,1,2,1
Tait D 3,139.73807848,0.25,62.5,1,2,1
Tait D 2,139.73807848,0.25,62.5,1,2,1
Hutchings CT 7,49.414422514545,0.25,625.0,1,2,1
Hutchings 3,21.70291473,0.4,6300.0,1,6,6
Hutchings 6,21.70291473,0.4,6300.0,1,6,6
Hutchings 1,21.70291473,0.4,5800.0,1,6,6
Hutchings 2,21.70291473,0.4,5500.0,1,6,6
Hutchings 5,21.70291473,0.4,6300.0,1,6,6
Stuart 1,21.70291473,0.4,58500.0,1,6,6
Stuart 4,21.85683087,0.4,58500.0,1,6,6
Stuart 2,21.85683087,0.4,58500.0,1,6,6
Stuart D 2,135.3041911,0.25,62.5,1,2,1
Stuart D 1,135.3041911,0.25,62.5,1,2,1
Stuart 3,21.85683087,0.4,58500.0,1,6,6
Stuart D 4,135.3041911,0.25,62.5,1,2,1
Stuart D 3,135.3041911,0.25,62.5,1,2,1
Monument D 3,142.25714281999998,0.25,60.0,1,2,1
Monument D 5,142.25714281999998,0.25,60.0,1,2,1
Monument D 2,142.25714281999998,0.25,60.0,1,2,1
Monument D 1,142.25714281999998,0.25,60.0,1,2,1
Monument D 4,142.25714281999998,0.25,60.0,1,2,1
Sidney D 3,138.66666671,0.25,60.0,1,2,1
Sidney D 2,138.66666671,0.25,60.0,1,2,1
Sidney D 4,138.66666671,0.25,60.0,1,2,1
Sidney D 1,138.66666671,0.25,60.0,1,2,1
Sidney D 5,138.66666671,0.25,60.0,1,2,1
Yankee GT 4,67.868917122105,0.25,450.0,1,2,1
Yankee GT 7,67.868917122105,0.25,450.0,1,2,1
Yankee GT 5,67.868917122105,0.25,450.0,1,2,1
Yankee GT 2,67.868917122105,0.25,550.0,1,2,1
Yankee GT 1,67.868917122105,0.25,550.0,1,2,1
Yankee GT 6,67.868917122105,0.25,450.0,1,2,1
Yankee GT 3,67.868917122105,0.25,550.0,1,2,1
Niles CT A,49.414422514545,0.25,750.0,1,2,1
Burger B2,133.02623425,0.25,52.5,1,2,1
Burger B1,133.02623425,0.25,75.0,1,2,1
Burger A,133.02623425,0.25,52.5,1,2,1
Sammis B2,145.3076859,0.25,75.0,1,2,1
Sammis B3,145.3076859,0.25,65.0,1,2,1
Sammis 3,23.472780030000003,0.4,18000.0,1,6,6
Sammis 6,23.472780030000003,0.4,60000.0,1,6,6
Sammis 2,23.472780030000003,0.4,18000.0,1,6,6
Sammis 1,23.472780030000003,0.4,18000.0,1,6,6
Sammis A,145.3076859,0.25,75.0,1,2,1
Sammis 5,23.472780030000003,0.4,30000.0,1,6,6
